,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
725,173.27.225.118,172.31.0.2,53.0,40255.0,0.000404
729,173.27.225.118,172.31.0.2,53.0,59745.0,0.073903
730,173.27.225.118,172.31.0.2,53.0,3113.0,0.075196
731,173.27.225.118,172.31.0.2,53.0,32491.0,0.152792
733,173.27.225.118,172.31.0.2,53.0,54537.0,0.000969
735,173.27.225.118,172.31.0.2,53.0,38265.0,0.00025
738,173.27.225.118,172.31.0.2,53.0,27445.0,0.266775
739,173.27.225.118,172.31.0.2,53.0,56635.0,0.097907
741,173.27.225.118,172.31.0.2,53.0,17016.0,0.000355
743,173.27.225.118,172.31.0.2,53.0,58518.0,0.000431
745,173.27.225.118,172.31.0.2,53.0,58299.0,0.079617
747,173.27.225.118,172.31.0.2,53.0,45025.0,0.057713
749,173.27.225.118,172.31.0.2,53.0,12068.0,0.001193
751,173.27.225.118,172.31.0.2,53.0,55632.0,0.000313
753,173.27.225.118,172.31.0.2,53.0,23904.0,0.000398
755,173.27.225.118,172.31.0.2,53.0,49560.0,0.000447
757,173.27.225.118,172.31.0.2,53.0,15016.0,0.000364
759,173.27.225.118,172.31.0.2,53.0,55877.0,0.000367
761,173.27.225.118,172.31.0.2,53.0,31065.0,0.000411
763,173.27.225.118,172.31.0.2,53.0,41894.0,0.000976
765,173.27.225.118,172.31.0.2,53.0,63596.0,0.000423
767,173.27.225.118,172.31.0.2,53.0,59251.0,0.000318
769,173.27.225.118,172.31.0.2,53.0,38537.0,0.024633
771,173.27.225.118,172.31.0.2,53.0,24816.0,0.076636
773,173.27.225.118,172.31.0.2,53.0,35914.0,0.000399
775,173.27.225.118,172.31.0.2,53.0,40209.0,0.000445
777,173.27.225.118,172.31.0.2,53.0,50978.0,0.000396
779,173.27.225.118,172.31.0.2,53.0,39900.0,0.002512
781,173.27.225.118,172.31.0.2,53.0,38669.0,0.000306
783,173.27.225.118,172.31.0.2,53.0,2701.0,0.000369
785,173.27.225.118,172.31.0.2,53.0,45012.0,0.000409
